,Potential_Customer,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_Ind_1_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Total_5_yrs_purchase
0,1,200,4,25,3,17,250,64.25,12.76,84.67,17,129,10,3,F,1,81,M,U,71429,42
1,1,100,1,1,0,0,200,200,200,0,20,20,28,5,F,0,42,M,H,65592,1
2,0,0,2,9,1,7,150,150,111.11,150,18,130,20,7,A,0,73,F,H,58514,16
4,1,100,2,12,0,5,100,100,41.83,0,4,125,27,6,A,1,60,M,U,44284.5,17
5,0,0,1,1,1,1,100,100,100,100,16,16,14,5,F,0,60,M,U,44284.5,2
6,1,100,1,4,1,1,100,100,62.5,100,19,49,29,6,A,0,55,F,H,71979,5
7,0,0,3,16,3,12,100,56.67,18.31,56.67,18,112,9,4,S,1,86,M,H,50021,28
8,0,0,4,7,1,4,100,67.5,56.43,60,19,68,15,6,A,0,62,M,H,35890,11
9,1,50,5,11,4,6,100,38,31.82,41.25,8,53,31,5,A,1,74,M,H,41338,17
10,1,15,1,11,0,4,100,10,18.18,0,18,102,10,4,A,0,60,M,U,44284.5,15
11,1,100,2,11,2,9,100,87.5,47.18,87.5,21,93,29,6,A,1,47,F,U,45767,20
12,0,0,3,6,2,3,100,45,27,17.5,18,52,15,6,A,1,66,F,U,59357,9
16,1,20,2,2,2,2,75,42.5,42.5,42.5,23,29,13,6,A,0,62,F,H,54200,4
17,1,100,6,26,1,9,75,48.5,27.42,43,19,126,13,6,S,1,17,F,U,44284.5,35
18,1,50,2,2,2,2,60,55,55,55,16,28,13,6,A,0,60,M,H,69063,4
19,0,0,2,2,1,1,60,55,55,60,16,20,14,6,N,0,60,F,U,44284.5,3
20,0,0,3,10,2,5,60,45,25.9,55,25,89,12,6,S,1,57,F,H,100406,15
21,0,0,1,8,0,4,60,60,36.38,0,18,114,15,6,A,0,76,F,H,59896,12
22,1,25,2,5,1,2,60,55,38,60,16,77,14,6,A,0,60,F,U,44284.5,7
23,0,0,2,5,1,3,55,52.5,39,50,18,76,8,4,A,0,60,F,U,33583,8
24,0,0,3,5,2,3,53,49.67,44.8,51.5,22,41,13,6,A,0,75,M,U,44284.5,8
25,0,0,3,23,2,11,52,48.67,38.87,49.5,16,110,29,6,S,1,60,M,H,87767,34
27,0,0,2,2,2,2,50,37.5,37.5,37.5,21,29,13,6,A,0,65,M,H,42613,4
28,0,0,1,11,0,4,50,34,36.64,0,18,86,13,6,A,0,71,F,H,88668,15
29,1,25,2,6,2,4,50,50,35,50,17,76,13,6,A,0,50,M,H,88668,10
30,0,0,2,2,2,2,50,50,50,50,16,25,14,6,N,0,57,F,H,70339,4
31,0,0,2,13,0,5,50,50,32.15,0,17,126,24,8,A,0,60,M,H,95776,18
32,0,0,1,1,0,0,50,50,50,0,15,15,8,3,E,0,38,F,H,85150,1
33,0,0,2,3,0,1,50,50,41.67,0,25,52,13,6,A,0,43,F,U,85253,4
34,0,0,2,8,2,6,50,47.5,39.38,47.5,17,101,12,5,A,0,79,F,U,44284.5,14
35,0,0,4,33,1,8,50,50,47,50,15,80,35,7,S,1,60,M,U,43729,41
36,0,0,2,2,2,2,50,50,50,50,24,29,12,6,A,0,80,M,H,55033,4
37,0,0,1,2,0,1,50,50,50,0,18,45,13,6,A,0,57,M,U,40417,3
38,0,0,2,4,0,1,50,41,34.25,0,15,77,13,6,A,0,53,M,H,55923,5
39,0,0,1,1,0,0,50,50,50,0,20,20,11,5,F,0,40,M,H,56843,1
40,0,0,1,1,1,1,50,50,50,50,17,17,11,5,F,0,23,F,U,27793,2
41,0,0,1,1,0,0,50,50,50,0,16,16,12,5,F,0,63,F,H,71392,1
42,1,75,1,1,1,1,50,50,50,50,24,24,11,6,N,0,67,M,U,52974,2
43,0,0,4,6,2,3,50,50,50,50,25,57,13,6,A,0,77,F,H,79249,9
44,1,60,2,5,0,0,50,50,33,0,25,56,15,6,A,1,60,M,U,44284.5,5
45,0,0,1,1,1,1,50,50,50,50,16,16,12,5,F,0,37,F,H,39703,2
46,1,20,2,5,2,4,50,55,37.2,55,21,53,13,6,A,0,73,F,H,35057,9
47,0,0,1,8,0,5,50,50,25.88,0,18,65,13,6,A,1,51,M,H,31878,13
48,0,0,2,5,1,3,50,51,36.8,52,19,56,13,6,A,0,60,F,U,33263,8
49,0,0,1,1,0,0,50,50,50,0,16,16,12,5,F,0,60,F,U,44284.5,1
50,0,0,2,12,1,5,50,25,15.83,25,18,122,13,6,A,0,44,F,U,55792,17
51,0,0,3,11,1,5,50,43.33,24.55,30,19,77,13,6,A,0,54,F,H,38962,16
52,1,50,4,9,4,8,50,36.25,25.11,36.25,21,105,13,6,A,1,80,M,U,44284.5,17
53,0,0,3,7,1,2,50,38.33,25.71,40,15,100,15,6,A,0,66,F,H,68517,9
54,0,0,2,6,2,5,50,55,40,55,24,113,12,6,A,0,55,M,H,43000,11
55,0,0,1,13,0,5,50,35,21.31,0,18,105,8,4,A,1,75,F,H,50242,18
56,0,0,2,8,1,5,50,37.5,18.13,25,19,80,13,6,A,1,51,M,H,56210,13
57,1,50,2,3,1,2,50,37.5,33.33,50,17,57,13,6,A,0,57,F,H,77130,5
58,1,50,1,5,0,1,50,50,35,0,17,75,13,6,A,0,40,M,H,67860,6
59,1,50,2,3,1,1,50,25,33.33,25,26,28,12,5,A,0,60,M,U,44284.5,4
60,0,0,1,2,0,0,50,50,50,0,26,44,10,5,A,0,32,M,U,34162,2
61,0,0,4,25,3,16,50,22.5,10.04,23.33,18,129,13,6,A,1,69,F,H,101783,41
62,0,0,2,2,1,1,50,37.5,37.5,25,17,26,13,6,N,0,57,M,H,47340,3
63,1,25,2,6,2,2,50,17.5,25.83,17.5,6,29,29,9,A,0,67,F,H,52330,8
64,0,0,4,4,2,2,50,31.25,31.25,25,16,32,13,6,A,0,44,M,H,55734,6
65,1,75,1,5,1,4,50,50,33,50,24,65,8,5,A,0,81,F,U,42403,9
66,0,0,3,7,1,3,50,30,20.57,20,18,75,13,6,A,0,39,M,U,46827,10
67,0,0,2,3,1,2,50,37.5,26.67,25,20,40,13,6,A,0,56,F,H,69635,5
68,1,50,4,9,4,7,50,42.5,24.22,42.5,17,89,9,5,S,1,68,F,U,46202,16
69,0,0,1,1,0,0,50,50,50,0,16,16,12,5,F,0,45,M,U,49690,1
70,0,0,2,6,1,3,50,35,20,50,15,71,12,5,A,0,60,M,H,64945,9
84,0,0,3,9,2,6,46,36.33,21.67,43,21,89,13,6,S,1,75,M,U,67436,15
