,Potential_Customer,C_ID,Cust_Last_Purchase,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Status_CustN,Total_Pur_3_years,Total_Pur_5_years,Total_Ad_Res_1_year,Total_Ad_Res_3_year,Total_Ad_Res_5_year
0,1,9946,5.0,0.0,7.5,7.76,7.5,14,110,A,0,71.0,F,H,65957.0,A,4,21,35,60,89
1,1,87939,30.0,25.0,25.0,13.0,,18,75,A,1,7.0,M,U,0.0,A,1,10,19,41,77
2,0,88003,,15.0,15.0,11.25,14.67,19,57,S,1,79.0,F,U,0.0,S,8,17,20,52,75
3,1,188721,20.0,20.0,20.0,12.45,,5,113,A,0,73.0,F,U,76293.0,A,1,14,25,46,104
4,1,88056,5.0,3.0,4.33,3.8,4.0,17,118,S,1,68.0,F,H,113663.0,S,5,22,19,40,87
5,1,88119,10.0,10.0,7.75,7.0,7.75,16,120,A,1,67.0,F,H,62230.0,A,8,27,20,50,105
6,0,88113,,18.0,18.0,14.58,18.0,24,111,A,1,78.0,M,H,62230.0,A,6,20,17,49,90
7,0,88092,,20.0,20.0,18.33,20.0,20,58,A,0,48.0,M,H,62230.0,A,2,6,14,33,50
8,1,88153,13.0,5.0,7.75,8.06,7.0,24,122,S,1,49.0,F,H,56828.0,S,7,25,9,40,87
9,0,88151,,16.0,14.5,11.57,14.5,16,104,S,1,63.0,M,H,56828.0,S,8,28,20,50,102
10,0,88137,,15.0,12.67,10.6,,19,40,S,1,73.0,M,H,56828.0,S,3,6,17,36,45
11,0,88136,,12.0,10.5,9.45,10.5,17,41,S,1,71.0,F,H,56828.0,S,12,16,19,51,54
12,0,88115,,5.0,4.5,3.78,4.33,16,123,S,1,37.0,F,H,56828.0,S,7,40,17,47,103
13,1,8669,10.0,10.0,10.0,8.39,10.0,18,128,S,1,45.0,F,H,87665.0,S,4,26,22,51,114
14,0,6875,,25.0,26.25,21.61,26.25,17,128,A,1,42.0,F,H,87665.0,A,8,28,21,50,117
15,0,88233,,10.0,10.0,8.32,10.0,15,125,E,1,17.0,F,H,87665.0,Others,2,35,12,34,99
16,1,88213,20.0,15.0,15.0,16.25,,26,65,A,0,76.0,M,H,87665.0,A,1,6,14,32,62
17,0,88198,,10.0,13.33,13.33,,16,28,A,1,40.0,F,H,87665.0,A,3,3,19,33,35
18,1,88189,25.0,15.0,15.0,15.0,15.0,17,17,F,0,80.0,M,H,87665.0,Others,2,2,14,21,18
19,0,88363,,25.0,21.25,22.0,20.0,17,33,A,0,,M,U,100910.0,A,7,8,19,47,44
20,0,325,,35.0,32.5,20.9,32.5,15,87,S,1,37.0,F,H,165543.0,S,4,16,34,60,84
21,0,88386,,14.0,14.8,12.8,14.67,22,77,A,1,77.0,F,U,0.0,A,8,15,15,45,72
22,0,88410,,20.0,20.0,14.0,,18,110,A,1,62.0,F,H,73899.0,A,1,14,19,39,95
23,0,88417,,20.0,20.0,20.0,20.0,17,17,F,0,43.0,F,H,107105.0,Others,2,2,14,21,18
24,0,87781,,17.0,17.0,16.14,,26,81,A,1,41.0,M,U,0.0,A,1,19,16,37,84
25,0,88900,,10.0,7.6,8.88,10.0,15,44,A,0,,M,U,0.0,A,6,9,19,50,54
26,1,88489,25.0,30.0,27.5,17.0,27.5,16,124,A,1,67.0,F,H,107272.0,A,4,21,13,31,79
27,0,88479,,16.0,14.0,11.43,12.0,18,76,A,1,79.0,M,H,107272.0,A,4,12,19,48,78
28,1,88474,5.0,10.0,11.0,9.83,11.33,16,68,S,1,,M,H,107272.0,S,7,18,17,46,80
29,1,88535,26.0,21.0,21.0,8.4,,17,130,A,1,68.0,M,H,66090.0,A,1,15,17,29,84
30,1,88537,5.0,3.0,3.4,3.17,3.67,16,128,S,1,76.0,M,H,66090.0,S,8,37,16,41,92
31,0,88518,,3.0,3.67,3.43,3.67,17,75,S,1,67.0,M,U,0.0,S,15,36,18,49,78
32,0,96314,,25.0,25.0,9.44,25.0,17,126,A,1,27.0,M,H,66090.0,A,3,49,31,64,193
